areaNm,hubTatsNm,hubBsicAdres,hubCtgryLclsNm,hubRank,baseYm,mapX,mapY,areaCd,signguCd,signguNm,hubCtgryMclsNm,formatted_text
서울특별시,홀리데이인익스프레스서울홍대,서울 마포구 양화로 1880,숙박,25,202502,126.926952164991000,37.557589132838300,11,11440,마포구,숙박,[지역] 서울특별시 [장소] 홀리데이인익스프레스서울홍대 [카테고리] 숙박
서울특별시,시그니처호텔,서울 동대문구 장한로21길 80,숙박,25,202502,127.069789584692840,37.570245332815770,11,11230,동대문구,숙박,[지역] 서울특별시 [장소] 시그니처호텔 [카테고리] 숙박
서울특별시,호텔스카이파크킹스타운동대문점,서울 중구 장충단로13길 200,숙박,25,202502,127.007473306842000,37.568588027140100,11,11140,중구,숙박,[지역] 서울특별시 [장소] 호텔스카이파크킹스타운동대문점 [카테고리] 숙박
서울특별시,키즈팡팡쌍문점,서울 도봉구 우이천로32길 380,관광지,25,202502,127.025255910187000,37.649231293300600,11,11320,도봉구,문화관광,[지역] 서울특별시 [장소] 키즈팡팡쌍문점 [카테고리] 관광지
서울특별시,르블랑,서울 중랑구 동일로 9610,숙박,25,202502,127.075690051547720,37.616178138777116,11,11260,중랑구,숙박,[지역] 서울특별시 [장소] 르블랑 [카테고리] 숙박
서울특별시,캠프호텔,서울 양천구 가로공원로 1670,숙박,25,202502,126.834575635462560,37.537038146626300,11,11470,양천구,숙박,[지역] 서울특별시 [장소] 캠프호텔 [카테고리] 숙박
서울특별시,롯데호텔L7강남,서울 강남구 테헤란로 4150,숙박,25,202502,127.051699373968000,37.505720279016550,11,11680,강남구,숙박,[지역] 서울특별시 [장소] 롯데호텔L7강남 [카테고리] 숙박
서울특별시,어반플레이스강남,서울 서초구 효령로77길 300,숙박,25,202502,127.029121934096000,37.491692096951400,11,11650,서초구,숙박,[지역] 서울특별시 [장소] 어반플레이스강남 [카테고리] 숙박
서울특별시,방이시장,서울 송파구 백제고분로48길 350,관광지,25,202502,127.116221276525820,37.510581230686920,11,11710,송파구,쇼핑,[지역] 서울특별시 [장소] 방이시장 [카테고리] 관광지
서울특별시,태양모텔,서울 성동구 마조로19길 130,숙박,25,202502,127.040060956885000,37.564907808988100,11,11200,성동구,숙박,[지역] 서울특별시 [장소] 태양모텔 [카테고리] 숙박
서울특별시,방신재래시장,서울 강서구 방화동로16길 320,관광지,25,202502,126.812387045767700,37.571600082468830,11,11500,강서구,쇼핑,[지역] 서울특별시 [장소] 방신재래시장 [카테고리] 관광지
서울특별시,노들섬,서울 용산구 양녕로 4450,관광지,25,202502,126.957242970832910,37.518053890988895,11,11170,용산구,자연관광,[지역] 서울특별시 [장소] 노들섬 [카테고리] 관광지
서울특별시,에이치에비뉴건대점,서울 광진구 동일로 1560,숙박,25,202502,127.066586522278630,37.546049043683105,11,11215,광진구,숙박,[지역] 서울특별시 [장소] 에이치에비뉴건대점 [카테고리] 숙박
서울특별시,남구로시장,서울 구로구 구로동로26길 250,관광지,25,202502,126.887742119348430,37.489998867287180,11,11530,구로구,쇼핑,[지역] 서울특별시 [장소] 남구로시장 [카테고리] 관광지
서울특별시,뽀로로파크롯데빅마켓금천점,서울 금천구 두산로 710,관광지,26,202502,126.895741582948000,37.470473395010000,11,11545,금천구,문화관광,[지역] 서울특별시 [장소] 뽀로로파크롯데빅마켓금천점 [카테고리] 관광지
